Name,Ranking All,Ranking in 2020,Nationality,Position,Birthdate,Height,Weight,Spike,Block,Dominant hand,Country Point,Points
Ting Zhu,3,23,China,Outside Hitter,29-11-1994,198,78kg,327cm,305cm,Right,320,1190
Macris Carneiro,176,19,Brazil,Setter,03-03-1989,178,68kg,292cm,285cm,null,220,833
Gabriela Guimarães,31,13,Brazil,Outside Hitter,19-05-1994,180,65kg,305cm,289cm,Right,220,788
Tijana Bošković,28,3,Serbia,Opposite,08-03-1997,194,84kg,329cm,310cm,Left,252,630.5
Paola Egonu,134,2,Italy,Opposite,18-12-1998,190,70kg,336cm,315cm,Right,165,597
Bethania De La Cruz,23,25,Dominican Republic,Outside Hitter,13-05-1987,188,68kg,315cm,310cm,Right,108,593.6
Kelsey Robinson,180,0,USA,Outside Hitter,25-06-1992,188,75kg,306cm,300cm,Right,,573
Mayu Ishikawa,1601,1668,Japan,Outside Hitter,14-05-2000,173,65kg,300cm,290cm,Right,190,553.25
Andrea Drews,621,14,USA,Opposite,25-12-1993,191,77kg,316cm,312cm,Left,,540.2
Brayelin Martínez,83,0,Dominican Republic,Outside Hitter,11-09-1996,201,83kg,330cm,320cm,Right,108,538.1
Simge Şebnem Aköz,405,4,Turkey,Libero,23-04-1991,168,55kg,250cm,245cm,null,72,471
Yingying Li,511,75,China,Outside Hitter,19-02-2000,192,78kg,312cm,300cm,Right,320,459
Melissa Vargas,562,0,Cuba,Opposite,16-10-1999,194,76kg,320cm,310cm,Right,30,447
Léia Nicolosi,187,19,Brazil,Libero,01-03-1985,168,60kg,268cm,257cm,null,220,425.5
Mara Leão,229,357,Brazil,Middle-blocker,26-07-1991,192,81kg,310cm,297cm,Right,220,425.5
Karsta Lowe,718,1081,USA,Opposite,02-02-1993,196,75kg,315cm,305cm,Left,,417
Jineiry Martinez,677,0,Dominican Republic,Middle-blocker,03-12-1997,190,68kg,305cm,280cm,Right,108,416.1
Mayany Souza,1211,257,Brazil,Middle-blocker,24-11-1996,185,62kg,293cm,282cm,Right,220,405.5
TeTori Dixon,329,1081,USA,Middle-blocker,04-08-1992,191,83kg,306cm,295cm,Right,,404
Irina Koroleva,119,10,Russia,Middle-blocker,04-10-1991,196,78kg,315cm,305cm,Right,208,401.2
Caroline Gattaz,48,19,Brazil,Middle-blocker,27-07-1981,192,78kg,315cm,299cm,Right,220,400
Ana Carolina Silva,51,6,Brazil,Middle-blocker,08-04-1991,183,73kg,316cm,309cm,Right,220,374.5
Nataliya Goncharova,34,235,"Russia, Ukraine",Opposite,01-06-1989,196,75kg,321cm,310cm,Right,,373
Maja Ognjenović,58,273,Serbia,Setter,06-08-1984,183,68kg,300cm,293cm,Right,252,371
Ebrar Karakurt,459,24,Turkey,Outside Hitter,17-01-2000,194,72kg,307cm,305cm,Right,72,368
Eda Erdem Dündar,57,0,Turkey,Middle-blocker,22-06-1987,188,74kg,315cm,302cm,Right,72,367
Samantha Bricio,598,1837,Mexico,Outside Hitter,22-11-1994,188,58kg,302cm,283cm,Right,35,360
Micha Hancock,389,219,USA,Setter,10-11-1992,177,68kg,289cm,283cm,Right,,358.3
Yuanyuan Wang,981,75,China,Middle-blocker,14-07-1997,195,75kg,312cm,300cm,Right,320,351
Jordan Larson-Burbach,32,650,USA,Outside Hitter,16-10-1986,186,74kg,302cm,295cm,Right,,345
